0: page №9 => [9]
1: page №1 => [9, 1]
2: page №20 => [9, 1, 20]
3: page №10 => [9, 1, 20, 10]
4: page №7 => [9, 1, 20, 10, 7]
5: page №10 => [9, 1, 20, 10, 7]
6: page №3 => [3, 1, 20, 10, 7]
7: page №11 => [3, 11, 20, 10, 7]
8: page №12 => [3, 11, 12, 10, 7]
9: page №6 => [3, 11, 12, 6, 7]
10: page №15 => [3, 11, 12, 6, 15]
11: page №8 => [8, 11, 12, 6, 15]
12: page №13 => [8, 13, 12, 6, 15]
13: page №15 => [8, 13, 12, 6, 15]
14: page №14 => [8, 13, 14, 6, 15]
15: page №18 => [8, 13, 14, 18, 15]
16: page №1 => [8, 13, 14, 18, 1]
17: page №5 => [5, 13, 14, 18, 1]
18: page №15 => [5, 15, 14, 18, 1]
19: page №16 => [5, 15, 16, 18, 1]
20: page №13 => [5, 15, 16, 13, 1]
21: page №4 => [5, 15, 16, 13, 4]
22: page №8 => [8, 15, 16, 13, 4]
23: page №5 => [8, 5, 16, 13, 4]
24: page №17 => [8, 5, 17, 13, 4]
25: page №16 => [8, 5, 17, 16, 4]
26: page №6 => [8, 5, 17, 16, 6]
27: page №8 => [8, 5, 17, 16, 6]
28: page №4 => [4, 5, 17, 16, 6]
29: page №8 => [4, 8, 17, 16, 6]
30: page №9 => [4, 8, 9, 16, 6]
31: page №17 => [4, 8, 9, 17, 6]
32: page №2 => [4, 8, 9, 17, 2]
33: page №6 => [6, 8, 9, 17, 2]
34: page №5 => [6, 5, 9, 17, 2]
35: page №2 => [6, 5, 9, 17, 2]
36: page №4 => [6, 5, 4, 17, 2]
37: page №9 => [6, 5, 4, 9, 2]
38: page №7 => [6, 5, 4, 9, 7]
39: page №10 => [10, 5, 4, 9, 7]
40: page №20 => [10, 20, 4, 9, 7]
41: page №11 => [10, 20, 11, 9, 7]
42: page №12 => [10, 20, 11, 12, 7]
43: page №14 => [10, 20, 11, 12, 14]
44: page №15 => [15, 20, 11, 12, 14]
45: page №12 => [15, 20, 11, 12, 14]
Page Faults: 36
