0: page №9 => [9]
1: page №1 => [9, 1]
2: page №20 => [9, 1, 20]
3: page №10 => [9, 1, 20, 10]
4: page №7 => [9, 1, 20, 10, 7]
5: page №10 => [9, 1, 20, 10, 7]
6: page №3 => [3, 1, 20, 10, 7]
7: page №11 => [3, 11, 20, 10, 7]
8: page №12 => [3, 11, 12, 10, 7]
9: page №6 => [3, 11, 12, 10, 6]
10: page №15 => [3, 11, 12, 15, 6]
11: page №8 => [8, 11, 12, 15, 6]
12: page №13 => [8, 13, 12, 15, 6]
13: page №15 => [8, 13, 12, 15, 6]
14: page №14 => [8, 13, 14, 15, 6]
15: page №18 => [8, 13, 14, 15, 18]
16: page №1 => [1, 13, 14, 15, 18]
17: page №5 => [1, 5, 14, 15, 18]
18: page №15 => [1, 5, 14, 15, 18]
19: page №16 => [1, 5, 16, 15, 18]
20: page №13 => [1, 5, 16, 15, 13]
21: page №4 => [4, 5, 16, 15, 13]
22: page №8 => [4, 8, 16, 15, 13]
23: page №5 => [4, 8, 16, 5, 13]
24: page №17 => [4, 8, 17, 5, 13]
25: page №16 => [4, 8, 17, 5, 16]
26: page №6 => [6, 8, 17, 5, 16]
27: page №8 => [6, 8, 17, 5, 16]
28: page №4 => [6, 8, 17, 4, 16]
29: page №8 => [6, 8, 17, 4, 16]
30: page №9 => [6, 8, 9, 4, 16]
31: page №17 => [6, 8, 9, 4, 17]
32: page №2 => [2, 8, 9, 4, 17]
33: page №6 => [2, 8, 9, 6, 17]
34: page №5 => [2, 5, 9, 6, 17]
35: page №2 => [2, 5, 9, 6, 17]
36: page №4 => [2, 5, 4, 6, 17]
37: page №9 => [2, 5, 4, 6, 9]
38: page №7 => [2, 5, 4, 7, 9]
39: page №10 => [2, 10, 4, 7, 9]
40: page №20 => [20, 10, 4, 7, 9]
41: page №11 => [20, 10, 11, 7, 9]
42: page №12 => [20, 10, 11, 7, 12]
43: page №14 => [20, 10, 11, 14, 12]
44: page №15 => [20, 15, 11, 14, 12]
45: page №12 => [20, 15, 11, 14, 12]
Page Faults: 34
