0: page №9 => [9]
1: page №1 => [9, 1]
2: page №20 => [9, 1, 20]
3: page №10 => [9, 1, 20, 10]
4: page №7 => [9, 1, 20, 10, 7]
5: page №10 => [9, 1, 20, 10, 7]
6: page №3 => [9, 1, 3, 10, 7]
7: page №11 => [9, 1, 11, 10, 7]
8: page №12 => [9, 1, 12, 10, 7]
9: page №6 => [9, 1, 6, 10, 7]
10: page №15 => [9, 1, 6, 15, 7]
11: page №8 => [9, 1, 6, 15, 8]
12: page №13 => [13, 1, 6, 15, 8]
13: page №15 => [13, 1, 6, 15, 8]
14: page №14 => [13, 1, 14, 15, 8]
15: page №18 => [13, 1, 18, 15, 8]
16: page №1 => [13, 1, 18, 15, 8]
17: page №5 => [13, 5, 18, 15, 8]
18: page №15 => [13, 5, 18, 15, 8]
19: page №16 => [13, 5, 16, 15, 8]
20: page №13 => [13, 5, 16, 15, 8]
21: page №4 => [4, 5, 16, 15, 8]
22: page №8 => [4, 5, 16, 15, 8]
23: page №5 => [4, 5, 16, 15, 8]
24: page №17 => [4, 5, 16, 17, 8]
25: page №16 => [4, 5, 16, 17, 8]
26: page №6 => [4, 5, 6, 17, 8]
27: page №8 => [4, 5, 6, 17, 8]
28: page №4 => [4, 5, 6, 17, 8]
29: page №8 => [4, 5, 6, 17, 8]
30: page №9 => [4, 5, 6, 17, 9]
31: page №17 => [4, 5, 6, 17, 9]
32: page №2 => [4, 5, 6, 2, 9]
33: page №6 => [4, 5, 6, 2, 9]
34: page №5 => [4, 5, 6, 2, 9]
35: page №2 => [4, 5, 6, 2, 9]
36: page №4 => [4, 5, 6, 2, 9]
37: page №9 => [4, 5, 6, 2, 9]
38: page №7 => [7, 5, 6, 2, 9]
39: page №10 => [10, 5, 6, 2, 9]
40: page №20 => [20, 5, 6, 2, 9]
41: page №11 => [11, 5, 6, 2, 9]
42: page №12 => [12, 5, 6, 2, 9]
43: page №14 => [12, 14, 6, 2, 9]
44: page №15 => [12, 15, 6, 2, 9]
45: page №12 => [12, 15, 6, 2, 9]
Page Faults: 23
